time,o,h,l,c,volume,complete
2019-02-01 00:00:00,1.1449,1.14503,1.14472,1.14488,92,True
2019-02-01 00:30:00,1.14491,1.14508,1.1448,1.1449,109,True
2019-02-01 01:00:00,1.14488,1.14496,1.14448,1.14448,111,True
2019-02-01 01:30:00,1.1445,1.14456,1.14387,1.14434,341,True
2019-02-01 02:00:00,1.14431,1.1444,1.14387,1.14424,306,True
2019-02-01 02:30:00,1.14421,1.14437,1.14408,1.14435,152,True
2019-02-01 03:00:00,1.14433,1.14474,1.14415,1.14474,126,True
2019-02-01 03:30:00,1.14473,1.1448,1.14427,1.14428,128,True
2019-02-01 04:00:00,1.1443,1.14443,1.14415,1.14418,124,True
2019-02-01 04:30:00,1.14416,1.14433,1.1439,1.14428,123,True
2019-02-01 05:00:00,1.1443,1.14436,1.14407,1.14415,101,True
2019-02-01 05:30:00,1.14417,1.14417,1.14352,1.14374,144,True
2019-02-01 06:00:00,1.14374,1.14411,1.14355,1.14403,197,True
2019-02-01 06:30:00,1.14401,1.14444,1.14393,1.14429,178,True
2019-02-01 07:00:00,1.14426,1.14484,1.14409,1.14425,427,True
2019-02-01 07:30:00,1.14423,1.14492,1.14413,1.14485,411,True
2019-02-01 08:00:00,1.14482,1.14518,1.14434,1.14491,657,True
2019-02-01 08:30:00,1.14489,1.14528,1.14452,1.14493,580,True
2019-02-01 09:00:00,1.14492,1.14644,1.14463,1.14614,805,True
2019-02-01 09:30:00,1.14612,1.14682,1.1458,1.14676,807,True
2019-02-01 10:00:00,1.14679,1.14735,1.14666,1.14696,709,True
2019-02-01 10:30:00,1.14699,1.14703,1.14661,1.14679,349,True
2019-02-01 11:00:00,1.14681,1.14745,1.1466,1.14729,352,True
2019-02-01 11:30:00,1.14731,1.14755,1.14691,1.14704,359,True
2019-02-01 12:00:00,1.14702,1.14714,1.14654,1.14702,416,True
2019-02-01 12:30:00,1.147,1.14724,1.14662,1.14694,434,True
2019-02-01 13:00:00,1.14696,1.14767,1.14676,1.14758,538,True
